Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.19984000e-06,-9.60937500e-03,-1.17968750e-01,,-9.19984000e-06,-3.82812507e-02
-9.19952000e-06,-8.90625000e-03,-1.21875000e-01,,-9.19952000e-06,-3.59374993e-02
-9.19920000e-06,-7.03125000e-03,-1.15625000e-01,,-9.19920000e-06,-4.14062515e-02
-9.19888000e-06,-5.39062500e-03,-1.00000000e-01,,-9.19888000e-06,-5.70312515e-02
-9.19856000e-06,-4.60937500e-03,-7.96875000e-02,,-9.19856000e-06,-5.07812500e-02
-9.19824000e-06,-5.15625000e-03,-5.15625000e-02,,-9.19824000e-06,-9.37500037e-03
-9.19792000e-06,-6.25000000e-03,-3.28125000e-02,,-9.19792000e-06,2.57812496e-02
-9.19760000e-06,-6.40625000e-03,-3.51562500e-02,,-9.19760000e-06,3.82812507e-02
-9.19728000e-06,-5.39062500e-03,-3.98437500e-02,,-9.19728000e-06,3.98437493e-02
-9.19696000e-06,-3.82812500e-03,-4.76562500e-02,,-9.19696000e-06,3.12500000e-02
-9.19664000e-06,-3.35937500e-03,-5.85937500e-02,,-9.19664000e-06,2.50000004e-02
-9.19632000e-06,-4.45312500e-03,-4.68750000e-02,,-9.19632000e-06,1.87500007e-02
-9.19600000e-06,-5.54687500e-03,-2.57812500e-02,,-9.19600000e-06,6.25000009e-03
-9.19568000e-06,-4.45312500e-03,-2.57812500e-02,,-9.19568000e-06,1.95312500e-02
-9.19536000e-06,-2.89062500e-03,-3.43750000e-02,,-9.19536000e-06,4.60937507e-02
-9.19504000e-06,-5.78125000e-03,-3.20312500e-02,,-9.19504000e-06,4.14062515e-02
-9.19472000e-06,-1.04687500e-02,-2.81250000e-02,,-9.19472000e-06,2.50000004e-02
-9.19440000e-06,-1.03906250e-02,-3.43750000e-02,,-9.19440000e-06,2.81249993e-02
